"Longitude","Latitude","Elevation","Altitude","Clutter_height","Distance","Path_Loss"
3.16508824,6.678204042,56,62,4,427,"F"
3.165115134,6.678213362,56,62,4,430,"F"
3.165115134,6.678213362,56,62,4,430,"F"
3.165124135,6.678213469,56,62,4,430,"F"
3.165151136,6.678213789,56,62,4,432,"F"
3.165151136,6.678213789,56,62,4,432,"F"
3.165169031,6.678223002,56,62,4,434,"F"
3.165178031,6.678223109,56,61,4,435,"F"
3.165187032,6.678223216,56,61,4,435,"E"
3.165213926,6.678232536,56,61,4,438,"E"
3.165213926,6.678232536,56,61,4,438,"E"
3.165240928,6.678232857,56,61,4,440,"E"
3.165249928,6.678232964,56,61,4,440,"E"
3.165258822,6.67824207,56,61,4,442,"F"
3.165285824,6.67824239,56,61,4,444,"F"
3.165285824,6.67824239,56,61,4,444,"F"
3.165294824,6.678242497,56,61,4,444,"F"
3.165321719,6.678251817,56,61,4,447,"F"
3.16533072,6.678251924,56,61,4,447,"F"
3.165366722,6.678252352,56,61,4,450,"F"
3.165366722,6.678252352,56,61,4,450,"E"
3.165366615,6.678261351,56,61,4,451,"E"
3.165393616,6.678261672,56,61,4,453,"E"
3.165402617,6.678261779,56,61,4,453,"E"
3.165402617,6.678261779,56,61,4,453,"E"
3.165429512,6.678271098,56,61,4,456,"E"
3.165438512,6.678271205,56,61,4,457,"E"
3.165465514,6.678271526,56,61,4,458,"E"
3.165465514,6.678271526,56,61,4,458,"F"
3.165474514,6.678271633,56,61,4,459,"F"
3.165474407,6.678280632,56,61,4,460,"F"
3.165501409,6.678280953,56,61,4,462,"F"
3.165501409,6.678280953,56,61,4,462,"E"
3.16551941,6.678281167,56,61,4,463,"E"
3.165528411,6.678281274,56,61,4,464,"E"
3.165537304,6.678290379,56,61,4,465,"E"
3.165537304,6.678290379,56,61,4,465,"E"
3.165546305,6.678290486,56,61,4,466,"E"
